10 - 15 Lakh,Mahindra Thar,Rs.9.99 - 16.99 Lakh*,9 kmpl,2184 cc,4 seater,,,,,,,
10 - 15 Lakh,Maruti Brezza,Rs.8.26 - 13.01 Lakh*,19.89 kmpl,1462 cc,5 seater,,,,,,,
10 - 15 Lakh,Mahindra XUV 3XO,Rs.7.28 - 14.40 Lakh*,20.6 kmpl,1498 cc,5 seater,,,,,,,
10 - 15 Lakh,Kia Sonet,Rs.7.30 - 14 Lakh*,24.1 kmpl,1493 cc,5 seater,,,,,,,
10 - 15 Lakh,Maruti Grand Vitara,Rs.10.77 - 19.72 Lakh*,27.97 kmpl,1490 cc,5 seater,,,,,,,
10 - 15 Lakh,Maruti Victoris,Rs.10.50 - 19.99 Lakh*,28.65 kmpl,1490 cc,5 seater,,,,,,,
10 - 15 Lakh,Kia Carens,Rs.10.99 - 12.77 Lakh*,12.6 kmpl,1497 cc,7 seater,,,,,,,
10 - 15 Lakh,Mahindra Thar ROXX,Rs.12.25 - 22.06 Lakh*,15.2 kmpl,2184 cc,5 seater,,,,,,,
10 - 15 Lakh,Kia Seltos,Rs.10.79 - 19.81 Lakh*,20.7 kmpl,1497 cc,5 seater,,,,,,,
10 - 15 Lakh,Hyundai i20,Rs.6.87 - 10.43 Lakh*,20 kmpl,1197 cc,5 seater,,,,,,,
10 - 15 Lakh,Tata Harrier,Rs.14 - 25.25 Lakh*,16.8 kmpl,1956 cc,5 seater,,,,,,,
10 - 15 Lakh,Toyota Urban Cruiser Hyryder,Rs.10.95 - 19.76 Lakh*,27.97 kmpl,1490 cc,5 seater,,,,,,,
10 - 15 Lakh,Tata Altroz,Rs.6.30 - 10.51 Lakh*,1497 cc,5 seater,,,,,,,,
15 - 20 Lakh,Mahindra XUV700,Rs.13.66 - 23.71 Lakh*,17 kmpl,2198 cc,7 seater,,,,,,,
15 - 20 Lakh,Mahindra Scorpio N,Rs.13.20 - 24.17 Lakh*,15.94 kmpl,2198 cc,7 seater,,,,,,,
